queue_id,company_id,world500_rank,company_name_en,report_id,inventory_year,financial_subsector,cat15_disclosure_status,pcaf_standard_mentioned,financed_or_facilitated_or_insured,asset_class,portfolio_segment,absolute_emissions_mtco2e,intensity_value,intensity_unit,attribution_factor,exposure_amount,evic_or_enterprise_value,pcaf_data_quality_score,coverage_percent,scope_included,evidence_page,source_file,review_decision,reviewer_note,confidence_level
pcaf_cat15_00070,r046_centene公司,46,Centene,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00071,r046_centene公司,46,Centene,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00072,r046_centene公司,46,Centene,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00073,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00074,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00075,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00076,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00077,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00078,r053_pinganinsurance,53,PING AN INSURANCE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00079,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00080,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00081,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00082,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00083,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00084,r058_fanniemae,58,FANNIE MAE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00085,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00086,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00087,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00088,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00089,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00090,r059_chinalifeinsurance,59,CHINA LIFE INSURANCE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00091,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00092,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00093,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00094,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00095,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00096,r062_bancosantander,62,BANCO SANTANDER,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00097,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00098,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00099,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00100,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00101,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00102,r064_bnpparibas,64,BNP PARIBAS,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00103,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00104,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00105,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00106,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00107,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00108,r067_hsbcholdings,67,HSBC HOLDINGS,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00109,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00110,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00111,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00112,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00113,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00114,r071_citicgroup,71,CITIC GROUP,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00115,r072_chinaresources,72,CHINA RESOURCES,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
