queue_id,priority_rank,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,report_id,report_title,inventory_year,scope3_category_code,scope3_category_en,current_screening_status,current_reported_value_mtco2e,current_evidence_page,missing_or_conflict_type,relevance_basis_en,quantitative_share_percent,source_layer,source_file,review_decision,corrected_value_mtco2e,corrected_status,corrected_evidence_page,reviewer_note,confidence_level
scope3_screen_00079,79,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00080,80,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00081,81,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00082,82,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00083,83,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00084,84,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00085,85,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00086,86,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00087,87,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00088,88,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00089,89,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00090,90,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00091,91,r007_apple,7,APPLE,苹果公司,C,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00092,92,r007_apple,7,APPLE,苹果公司,C,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00093,93,r007_apple,7,APPLE,苹果公司,C,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00094,94,r007_apple,7,APPLE,苹果公司,C,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00095,95,r007_apple,7,APPLE,苹果公司,C,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00096,96,r007_apple,7,APPLE,苹果公司,C,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00097,97,r007_apple,7,APPLE,苹果公司,C,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00098,98,r007_apple,7,APPLE,苹果公司,C,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00099,99,r007_apple,7,APPLE,苹果公司,C,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00100,100,r007_apple,7,APPLE,苹果公司,C,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00101,101,r007_apple,7,APPLE,苹果公司,C,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00102,102,r007_apple,7,APPLE,苹果公司,C,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00103,103,r007_apple,7,APPLE,苹果公司,C,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00104,104,r007_apple,7,APPLE,苹果公司,C,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00105,105,r007_apple,7,APPLE,苹果公司,C,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00106,106,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,1,Category 1 Purchased goods and services,reported_value_candidate,,82,candidate_value_needs_review,,,missing_screening,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,,,,
scope3_screen_00107,107,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00108,108,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00109,109,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,,,,4,Category 4 Upstream transportation and distribution,reported_value_candidate,0.5213369999999999,82,candidate_value_needs_review,,,workbench_value_candidate,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,,,,
