source_gap_priority_rank,company_id,company_name_en,company_name_zh,rank,world500_rank,readiness_status,missing_workstreams,missing_requirement_keys,scope_candidate_count,scope3_candidate_count,scope3_category_count,source_file,source_path,page,snippet_or_recognition_basis,recognition_basis,acceptance_status,recommended_action,confirmed_source_file,confirmed_source_path,confirmed_report_year,reviewer_decision,reviewer_note
376,r142_xiamenitgholdinggroup,XIAMEN ITG HOLDING GROUP,厦门国贸控股集团有限公司,142,142,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
377,r147_aviationindustrycorpofchina,AVIATION INDUSTRY CORP. OF CHINA,中国航空工业集团有限公司,147,147,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
378,r155_energytransfer公司,Energy Transfer公司,Energy Transfer公司,155,155,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
379,r160_chinanorthindustriesgroup,CHINA NORTH INDUSTRIES GROUP,中国兵器工业集团有限公司,160,160,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
380,r161_pacificconstructiongroup,PACIFIC CONSTRUCTION GROUP,太平洋建设集团有限公司,161,161,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
381,r167_petronas,PETRONAS,马来西亚国家石油公司,167,167,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
382,r170_shaanxicoalandchemicalindustry,SHAANXI COAL & CHEMICAL INDUSTRY,陕西煤业化工集团有限责任公司,170,170,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
383,r171_shenghongholdinggroup,SHENGHONG HOLDING GROUP,盛虹控股集团有限公司,171,171,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
384,r172_basf,BASF,巴斯夫公司,172,172,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
385,r173_chinapolygroup,CHINA POLY GROUP,中国保利集团有限公司,173,173,source_gap,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,0,0,0,,,,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。,source_gap,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,,,,,
