queue_id,company_id,report_id,emission_anchor_id,scope_en,scope3_category_code,activity_category_en,calculation_method_en,region_en,fuel_or_grid_en,gas,value_mtco2e,factor_needed_type,candidate_factor_id,factor_source_en,factor_class_en,factor_unit,factor_gwp_basis,factor_publication_year,unit_conversion_needed,edge_status,evidence_page,source_file,review_decision,reviewer_note
factor_edge_00021,r011_volkswagen,,r011_volkswagen_Scope 3__21,Scope 3,,,,,,,413.95,emission_record_factor,,,,,,,review,missing_applies_emission_factor,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,
factor_edge_00022,r013_shell,,r013_shell__1_22,,1,,,,,,119.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,375,shell-annual-report-2024.pdf,,
factor_edge_00023,r013_shell,,r013_shell__1_23,,1,,,,,,119.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,99,shell-annual-report-2024.pdf,,
factor_edge_00024,r013_shell,,r013_shell__3_24,,3,,,,,,2.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,103,shell-annual-report-2024.pdf,,
factor_edge_00025,r013_shell,,r013_shell__9_25,,9,,,,,,3.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,99,shell-annual-report-2024.pdf,,
factor_edge_00026,r013_shell,,r013_shell__11_26,,11,,,,,,845.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,99,shell-annual-report-2024.pdf,,
factor_edge_00027,r013_shell,,r013_shell__11_27,,11,,,,,,845.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,375,shell-annual-report-2024.pdf,,
factor_edge_00028,r013_shell,,r013_shell__11_28,,11,,,,,,491.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,99,shell-annual-report-2024.pdf,,
factor_edge_00029,r013_shell,,r013_shell_Scope 1__29,Scope 1,,,,,,,50.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,109,shell-annual-report-2024.pdf,,
factor_edge_00030,r013_shell,,r013_shell_Scope 2__30,Scope 2,,,Location-Based,,,,8.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,109,shell-annual-report-2024.pdf,,
factor_edge_00031,r013_shell,,r013_shell_Scope 2__31,Scope 2,,,Market-Based,,,,8.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,109,shell-annual-report-2024.pdf,,
factor_edge_00032,r013_shell,,r013_shell_Scope 3__32,Scope 3,,,,,,,154.0,emission_record_factor,,,,,,,review,missing_applies_emission_factor,99,shell-annual-report-2024.pdf,,
factor_edge_00033,r016_mckesson,,r016_mckesson__1_33,,1,,,,,,25.242171,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00034,r016_mckesson,,r016_mckesson__2_34,,2,,,,,,0.008261,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00035,r016_mckesson,,r016_mckesson__3_35,,3,,,,,,0.010915,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00036,r016_mckesson,,r016_mckesson__4_36,,4,,,,,,0.117702,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00037,r016_mckesson,,r016_mckesson__5_37,,5,,,,,,0.006091,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00038,r016_mckesson,,r016_mckesson__6_38,,6,,,,,,0.020634,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00039,r016_mckesson,,r016_mckesson__7_39,,7,,,,,,0.020399999999999998,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00040,r016_mckesson,,r016_mckesson_Scope 1__40,Scope 1,,,,,,,2e-06,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,64,McKesson Impact Report 2024.pdf,,
factor_edge_00041,r016_mckesson,,r016_mckesson_Scope 2__41,Scope 2,,,Location-Based,,,,1e-06,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,69,McKesson Impact Report 2024.pdf,,
factor_edge_00042,r016_mckesson,,r016_mckesson_Scope 2__42,Scope 2,,,Market-Based,,,,2e-06,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,69,McKesson Impact Report 2024.pdf,,
factor_edge_00043,r017_alphabet公司,,r017_alphabet公司__1_43,,1,,,,,,3.601,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00044,r017_alphabet公司,,r017_alphabet公司__2_44,,2,,,,,,0.7759999999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00045,r017_alphabet公司,,r017_alphabet公司__3_45,,3,,,,,,1.295,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00046,r017_alphabet公司,,r017_alphabet公司__4_46,,4,,,,,,0.853,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00047,r017_alphabet公司,,r017_alphabet公司__5_47,,5,,,,,,0.012,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00048,r017_alphabet公司,,r017_alphabet公司__6_48,,6,,,,,,0.39899999999999997,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00049,r017_alphabet公司,,r017_alphabet公司__7_49,,7,,,,,,0.13699999999999998,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00050,r017_alphabet公司,,r017_alphabet公司__11_50,,11,,,,,,4.583,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00051,r017_alphabet公司,,r017_alphabet公司_Scope 1__51,Scope 1,,,,,,,0.0731,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00052,r017_alphabet公司,,r017_alphabet公司_Scope 2__52,Scope 2,,,Market-Based,,,,3.0591,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00053,r017_alphabet公司,,r017_alphabet公司_Scope 3__53,Scope 3,,,,,,,12.052999999999999,emission_record_factor,,,,,,,review,missing_applies_emission_factor,105,google-2025-environmental-report.pdf,,
factor_edge_00054,r019_trafiguragroup,,r019_trafiguragroup__1_54,,1,,,,,,264.782,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00055,r019_trafiguragroup,,r019_trafiguragroup__3_55,,3,,,,,,0.862398,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00056,r019_trafiguragroup,,r019_trafiguragroup__6_56,,6,,,,,,0.038754,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00057,r019_trafiguragroup,,r019_trafiguragroup__8_57,,8,,,,,,9.109065,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00058,r019_trafiguragroup,,r019_trafiguragroup__10_58,,10,,,,,,1.1221459999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00059,r019_trafiguragroup,,r019_trafiguragroup__11_59,,11,,,,,,42.724109999999996,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00060,r019_trafiguragroup,,r019_trafiguragroup__14_60,,14,,,,,,0.082511,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00061,r019_trafiguragroup,,r019_trafiguragroup__15_61,,15,,,,,,0.263467,pcaf_financed_emissions_factor_or_attribution_inputs,,,,,,,review,missing_applies_emission_factor,26,2024_trafigura_sustainability_report.pdf,,
factor_edge_00062,r021_jpmorganchase,,r021_jpmorganchase_Scope 1__62,Scope 1,,,,,,,115.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,27,JPMORGAN CHASE-Climate-Report-2024.pdf,,
factor_edge_00063,r022_industrialandcommercialbankofchina,,r022_industrialandcommercialbankofchina_Scope 1__63,Scope 1,,,,,,,0.0996,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,45,ICBC_2024_Sustainability_Report.pdf,,
factor_edge_00064,r022_industrialandcommercialbankofchina,,r022_industrialandcommercialbankofchina_Scope 2__64,Scope 2,,,,,,,1.776,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,45,ICBC_2024_Sustainability_Report.pdf,,
factor_edge_00065,r023_totalenergies,,r023_totalenergies__1_65,,1,,,,,,28.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00066,r023_totalenergies,,r023_totalenergies__2_66,,2,,,,,,4.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00067,r023_totalenergies,,r023_totalenergies__3_67,,3,,,,,,4.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00068,r023_totalenergies,,r023_totalenergies__4_68,,4,,,,,,6.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00069,r023_totalenergies,,r023_totalenergies__8_69,,8,,,,,,0.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00070,r023_totalenergies,,r023_totalenergies__9_70,,9,,,,,,1.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00071,r023_totalenergies,,r023_totalenergies__10_71,,10,,,,,,5.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00072,r023_totalenergies,,r023_totalenergies__11_72,,11,,,,,,342.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00073,r023_totalenergies,,r023_totalenergies__12_73,,12,,,,,,11.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00074,r023_totalenergies,,r023_totalenergies__15_74,,15,,,,,,14.0,pcaf_financed_emissions_factor_or_attribution_inputs,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00075,r023_totalenergies,,r023_totalenergies_Scope 1__75,Scope 1,,,,,,,43.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00076,r023_totalenergies,,r023_totalenergies_Scope 2__76,Scope 2,,,Market-Based,,,,2.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00077,r023_totalenergies,,r023_totalenergies_Scope 3__77,Scope 3,,,,,,,342.0,emission_record_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00078,r023_totalenergies,,r023_totalenergies_Scope 3__78,Scope 3,,,,,,,0.002023,emission_record_factor,,,,,,,review,missing_applies_emission_factor,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,
factor_edge_00079,r024_glencore,,r024_glencore_Scope 1__79,Scope 1,,,,,,,16.2,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,65,Glencore_2024_Sustainability_Report.pdf,,
factor_edge_00080,r024_glencore,,r024_glencore_Scope 2__80,Scope 2,,,,,,,10.9,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,65,Glencore_2024_Sustainability_Report.pdf,,
factor_edge_00081,r025_bp,,r025_bp_Scope 1__81,Scope 1,,,,,,,32.8,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,50,bp-sustainability-report-2024.pdf,,
factor_edge_00082,r025_bp,,r025_bp_Scope 1__82,Scope 1,,,,,,,32.2,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,50,bp-sustainability-report-2024.pdf,,
factor_edge_00083,r025_bp,,r025_bp_Scope 2__83,Scope 2,,,Market-Based,,,,0.8,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,50,bp-sustainability-report-2024.pdf,,
factor_edge_00084,r025_bp,,r025_bp_Scope 2__84,Scope 2,,,Market-Based,,,,1.3,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,50,bp-sustainability-report-2024.pdf,,
factor_edge_00085,r027_cardinalhealth,,r027_cardinalhealth_Scope 1__85,Scope 1,,,,,,,0.16015,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,80,cardinal-health-fy24-ESG-report.pdf,,
factor_edge_00086,r029_chevron,,r029_chevron__11_86,,11,,,,,,432.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,13,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00087,r029_chevron,,r029_chevron__11_87,,11,,,,,,717.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,13,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00088,r029_chevron,,r029_chevron__11_88,,11,,,,,,417.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,13,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00089,r029_chevron,,r029_chevron__11_89,,11,,,,,,616.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,17,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00090,r029_chevron,,r029_chevron__11_90,,11,,,,,,324.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,17,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00091,r029_chevron,,r029_chevron_Scope 1__91,Scope 1,,,,,,,54.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,10,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00092,r029_chevron,,r029_chevron_Scope 1__92,Scope 1,,,,,,,53.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,14,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00093,r029_chevron,,r029_chevron_Scope 2__93,Scope 2,,,Location-Based,,,,4.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,12,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00094,r029_chevron,,r029_chevron_Scope 2__94,Scope 2,,,Location-Based,,,,2.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,16,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00095,r029_chevron,,r029_chevron_Scope 2__95,Scope 2,,,Market-Based,,,,4.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,12,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00096,r029_chevron,,r029_chevron_Scope 2__96,Scope 2,,,Market-Based,,,,2.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,16,chevron-sustainability-highlights-2024.pdf,,
factor_edge_00097,r031_samsungelectronics,,r031_samsungelectronics_Scope 3__97,Scope 3,,,,,,,0.002021,emission_record_factor,,,,,,,review,missing_applies_emission_factor,62,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,,
factor_edge_00098,r036_fordmotor,,r036_fordmotor__1_98,,1,,,,,,43.167,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00099,r036_fordmotor,,r036_fordmotor__2_99,,2,,,,,,2.335,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00100,r036_fordmotor,,r036_fordmotor__4_100,,4,,,,,,6e-06,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,193,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00101,r036_fordmotor,,r036_fordmotor__11_101,,11,,,,,,6e-06,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,193,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00102,r036_fordmotor,,r036_fordmotor__15_102,,15,,,,,,3e-06,pcaf_financed_emissions_factor_or_attribution_inputs,,,,,,,review,missing_applies_emission_factor,193,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00103,r036_fordmotor,,r036_fordmotor_Scope 2__103,Scope 2,,,Location-Based,,,,2.0766999999999998,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,235,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00104,r036_fordmotor,,r036_fordmotor_Scope 3__104,Scope 3,,,,,,,354.14,emission_record_factor,,,,,,,review,missing_applies_emission_factor,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00105,r036_fordmotor,,r036_fordmotor_Scope 1__105,Scope 1,,,,,,,7e-06,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00106,r036_fordmotor,,r036_fordmotor_Scope 1__106,Scope 1,,,,,,,2e-06,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,192,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,,
factor_edge_00107,r038_bankofamerica,,r038_bankofamerica__1_107,,1,,,,,,1.722654,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00108,r038_bankofamerica,,r038_bankofamerica__6_108,,6,,,,,,0.092818,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00109,r038_bankofamerica,,r038_bankofamerica_Scope 1__109,Scope 1,,,,,,,0.06805,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,116,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00110,r038_bankofamerica,,r038_bankofamerica_Scope 2__110,Scope 2,,,Location-Based,,,,0.610013,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,81,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00111,r038_bankofamerica,,r038_bankofamerica_Scope 2__111,Scope 2,,,Market-Based,,,,0.610013,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,116,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00112,r038_bankofamerica,,r038_bankofamerica_Scope 3__112,Scope 3,,,,,,,1.722654,emission_record_factor,,,,,,,review,missing_applies_emission_factor,116,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00113,r038_bankofamerica,,r038_bankofamerica_Scope 3__113,Scope 3,,,PCAF financed emissions methodology,,,,1.722654,emission_record_factor,,,,,,,review,missing_applies_emission_factor,116,BankOfAmerica_Sustainability_2024_Report.pdf,,
factor_edge_00114,r042_mercedesbenzgroup,,r042_mercedesbenzgroup__1_114,,1,,,,,,1.83e-05,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,10,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,,
factor_edge_00115,r042_mercedesbenzgroup,,r042_mercedesbenzgroup_Scope 1__115,Scope 1,,,,,,,0.65,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,4,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,,
factor_edge_00116,r042_mercedesbenzgroup,,r042_mercedesbenzgroup_Scope 2__116,Scope 2,,,Market-Based,,,,0.0006839999999999999,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,12,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,,
factor_edge_00117,r046_centene公司,,r046_centene公司_Scope 1__117,Scope 1,,,,,,,0.013694,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,73,Centene-Corporate-Responsibility-2024.pdf,,
factor_edge_00118,r046_centene公司,,r046_centene公司_Scope 3__118,Scope 3,,,,,,,0.002019,emission_record_factor,,,,,,,review,missing_applies_emission_factor,58,Centene-Corporate-Responsibility-2024.pdf,,
factor_edge_00119,r048_homedepot,,r048_homedepot_Scope 1__119,Scope 1,,,,,,,0.628,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,45,2024_ESG_Report_The_Home_Depot.pdf,,
factor_edge_00120,r048_homedepot,,r048_homedepot_Scope 2__120,Scope 2,,,Market-Based,,,,0.7338,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,45,2024_ESG_Report_The_Home_Depot.pdf,,
factor_edge_00121,r048_homedepot,,r048_homedepot_Scope 3__121,Scope 3,,,,,,,192.934,emission_record_factor,,,,,,,review,missing_applies_emission_factor,95,2024_ESG_Report_The_Home_Depot.pdf,,
factor_edge_00122,r049_electricitédefrance,,r049_electricitédefrance_Scope 1__122,Scope 1,,,,,,,17.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,204,edf-urd-annual-financial-report-2024-en-accessible.pdf,,
factor_edge_00123,r049_electricitédefrance,,r049_electricitédefrance_Scope 2__123,Scope 2,,,,,,,0.66,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,204,edf-urd-annual-financial-report-2024-en-accessible.pdf,,
factor_edge_00124,r052_phillips66公司,,r052_phillips66公司_Scope 1__124,Scope 1,,,,,,,32.7,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,48,PHILLIPS 66-2025-0023_3_Sustainability and People Report_DIGITAL 0623.pdf,,
factor_edge_00125,r052_phillips66公司,,r052_phillips66公司_Scope 2__125,Scope 2,,,,,,,9.0,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,48,PHILLIPS 66-2025-0023_3_Sustainability and People Report_DIGITAL 0623.pdf,,
factor_edge_00126,r053_pinganinsurance,,r053_pinganinsurance_Scope 3__126,Scope 3,,,,,,,0.042193,emission_record_factor,,,,,,,review,missing_applies_emission_factor,136,2024中国平安可持续报告.pdf,,
factor_edge_00127,r061_valeroenergy,,r061_valeroenergy_Scope 1__127,Scope 1,,,,,,,24.9,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,76,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,,
factor_edge_00128,r061_valeroenergy,,r061_valeroenergy_Scope 2__128,Scope 2,,,Market-Based,,,,4.9,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,20,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,,
factor_edge_00129,r066_metaplatforms公司,,r066_metaplatforms公司__2_129,,2,,,,,,4.8352699999999995,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00130,r066_metaplatforms公司,,r066_metaplatforms公司__3_130,,3,,,,,,0.008454,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00131,r066_metaplatforms公司,,r066_metaplatforms公司__4_131,,4,,,,,,0.12432399999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00132,r066_metaplatforms公司,,r066_metaplatforms公司__5_132,,5,,,,,,0.038467999999999995,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00133,r066_metaplatforms公司,,r066_metaplatforms公司__6_133,,6,,,,,,0.317841,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00134,r066_metaplatforms公司,,r066_metaplatforms公司__7_134,,7,,,,,,0.054256,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00135,r066_metaplatforms公司,,r066_metaplatforms公司__8_135,,8,,,,,,0.0022489999999999997,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00136,r066_metaplatforms公司,,r066_metaplatforms公司__9_136,,9,,,,,,4.7e-05,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00137,r066_metaplatforms公司,,r066_metaplatforms公司__11_137,,11,,,,,,0.016475999999999998,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,81,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00138,r066_metaplatforms公司,,r066_metaplatforms公司_Scope 1__138,Scope 1,,,,,,,0.048951999999999996,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,78,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00139,r066_metaplatforms公司,,r066_metaplatforms公司_Scope 2__139,Scope 2,,,Market-Based,,,,0.002019,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,80,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00140,r066_metaplatforms公司,,r066_metaplatforms公司_Scope 3__140,Scope 3,,,,,,,7.445621,emission_record_factor,,,,,,,review,missing_applies_emission_factor,21,Meta-2024-Sustainability-Report.pdf,,
factor_edge_00141,r066_metaplatforms公司,,r066_metaplatforms公司_Scope 2__141,Scope 2,,,,,,,0.001658,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,78,Meta-2024-Sustainability-Report.pdf,,
