queue_id,company_id,report_id,emission_anchor_id,scope_en,scope3_category_code,activity_category_en,calculation_method_en,region_en,fuel_or_grid_en,gas,value_mtco2e,factor_needed_type,candidate_factor_id,factor_source_en,factor_class_en,factor_unit,factor_gwp_basis,factor_publication_year,unit_conversion_needed,edge_status,evidence_page,source_file,review_decision,reviewer_note
factor_edge_00244,r206_chinavanke,,r206_chinavanke_Scope 1__244,Scope 1,,,,,,,0.0145702,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,45,2024-CHINA VANKE-sustainability-report.pdf,,
factor_edge_00245,r206_chinavanke,,r206_chinavanke_Scope 2__245,Scope 2,,,Market-Based,,,,0.26132683,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,45,2024-CHINA VANKE-sustainability-report.pdf,,
factor_edge_00246,r206_chinavanke,,r206_chinavanke_Scope 3__246,Scope 3,,,,,,,0.002022,emission_record_factor,,,,,,,review,missing_applies_emission_factor,50,2024-CHINA VANKE-sustainability-report.pdf,,
factor_edge_00247,r209_lg电子,,r209_lg电子_Scope 1__247,Scope 1,,,,,,,0.001,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,24,2024-2025_LGE_Sustainability_Report_English.pdf,,
factor_edge_00248,r222_nvidia,,r222_nvidia__1_248,,1,,,,,,6.036105,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00249,r222_nvidia,,r222_nvidia__2_249,,2,,,,,,0.570175,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00250,r222_nvidia,,r222_nvidia__3_250,,3,,,,,,0.07503499999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00251,r222_nvidia,,r222_nvidia__4_251,,4,,,,,,0.07819899999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00252,r222_nvidia,,r222_nvidia__5_252,,5,,,,,,0.001416,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00253,r222_nvidia,,r222_nvidia__6_253,,6,,,,,,0.036032,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00254,r222_nvidia,,r222_nvidia__7_254,,7,,,,,,0.045255,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00255,r222_nvidia,,r222_nvidia__8_255,,8,,,,,,0.07035999999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,
factor_edge_00256,r224_zurichinsurancegroup,,r224_zurichinsurancegroup_Scope 3__256,Scope 3,,,,,,,1.8e-05,emission_record_factor,,,,,,,review,missing_applies_emission_factor,65,ZURICH INSURANCE GROUP sustainability-report-2024.pdf,,
factor_edge_00257,r230_bungeglobal,,r230_bungeglobal_Scope 1__257,Scope 1,,,,,,,136.679303,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,24,2025-Bunge-Global-Sustainability-Report.pdf,,
factor_edge_00258,r230_bungeglobal,,r230_bungeglobal_Scope 2__258,Scope 2,,,,,,,1.665988,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,24,2025-Bunge-Global-Sustainability-Report.pdf,,
factor_edge_00259,r230_bungeglobal,,r230_bungeglobal_Scope 3__259,Scope 3,,,,,,,3e-06,emission_record_factor,,,,,,,review,missing_applies_emission_factor,72,2025-Bunge-Global-Sustainability-Report.pdf,,
factor_edge_00260,r231_anheuserbuschinbev,,r231_anheuserbuschinbev_Scope 3__260,Scope 3,,,,,,,4.64e-06,emission_record_factor,,,,,,,review,missing_applies_emission_factor,75,20224-ANHEUSER-BUSCH INBEV-sustainability-report,,
factor_edge_00261,r234_panasonicholdings,,r234_panasonicholdings_Scope 1__261,Scope 1,,,,,,,0.224,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,88,2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,,
factor_edge_00262,r234_panasonicholdings,,r234_panasonicholdings_Scope 2__262,Scope 2,,,,,,,3e-06,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,155,2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,,
factor_edge_00263,r235_conocophillips,,r235_conocophillips_Scope 1__263,Scope 1,,,,,,,17.7,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,85,2024-sustainability-report CONOCOPHILLIPS.pdf,,
factor_edge_00264,r235_conocophillips,,r235_conocophillips_Scope 2__264,Scope 2,,,Market-Based,,,,0.93,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,85,2024-sustainability-report CONOCOPHILLIPS.pdf,,
factor_edge_00265,r237_deltaairlines,,r237_deltaairlines_Scope 1__265,Scope 1,,,,,,,37.284766,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,57,delta-difference-2024-report.pdf,,
factor_edge_00266,r237_deltaairlines,,r237_deltaairlines_Scope 3__266,Scope 3,,,,,,,23.119882,emission_record_factor,,,,,,,review,missing_applies_emission_factor,57,delta-difference-2024-report.pdf,,
factor_edge_00267,r241_tdsynnex公司,,r241_tdsynnex公司_Scope 2__267,Scope 2,,,,,,,2e-06,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,67,tdsynnex-fy2024-ccr-ada.pdf,,
factor_edge_00268,r247_repsol,,r247_repsol_Scope 1__268,Scope 1,,,,,,,1.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,41,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,,
factor_edge_00269,r252_bancobradesco,,r252_bancobradesco_Scope 1__269,Scope 1,,,,,,,0.019631,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,155,2024  BANCO BRADESCO ESG Report.pdf,,
factor_edge_00270,r252_bancobradesco,,r252_bancobradesco_Scope 2__270,Scope 2,,,Market-Based,,,,0.002019,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,47,2024  BANCO BRADESCO ESG Report.pdf,,
factor_edge_00271,r255_chartercommunications,,r255_chartercommunications_Scope 1__271,Scope 1,,,,,,,0.431504,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,22,2023 CHARTER COMMUNICATIONS esg-report.pdf,,
factor_edge_00272,r255_chartercommunications,,r255_chartercommunications_Scope 3__272,Scope 3,,,,,,,0.957348,emission_record_factor,,,,,,,review,missing_applies_emission_factor,22,2023 CHARTER COMMUNICATIONS esg-report.pdf,,
factor_edge_00273,r258_bharatpetroleum,,r258_bharatpetroleum_Scope 1__273,Scope 1,,,,,,,0.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,78,BHARAT PETROLEUM sustainability-report-2023-24.pdf,,
factor_edge_00274,r258_bharatpetroleum,,r258_bharatpetroleum_Scope 2__274,Scope 2,,,,,,,2.4e-05,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,78,BHARAT PETROLEUM sustainability-report-2023-24.pdf,,
factor_edge_00275,r258_bharatpetroleum,,r258_bharatpetroleum_Scope 3__275,Scope 3,,,,,,,0.0,emission_record_factor,,,,,,,review,missing_applies_emission_factor,79,BHARAT PETROLEUM sustainability-report-2023-24.pdf,,
factor_edge_00276,r260_newyorklifeinsurance,,r260_newyorklifeinsurance__6_276,,6,,,,,,0.007666,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,
factor_edge_00277,r260_newyorklifeinsurance,,r260_newyorklifeinsurance__13_277,,13,,,,,,0.027733999999999998,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,
factor_edge_00278,r260_newyorklifeinsurance,,r260_newyorklifeinsurance_Scope 1__278,Scope 1,,,,,,,0.009434999999999999,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,
factor_edge_00279,r260_newyorklifeinsurance,,r260_newyorklifeinsurance_Scope 2__279,Scope 2,,,Market-Based,,,,0.095548,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,
factor_edge_00280,r260_newyorklifeinsurance,,r260_newyorklifeinsurance_Scope 3__280,Scope 3,,,,,,,0.028430999999999998,emission_record_factor,,,,,,,review,missing_applies_emission_factor,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,
factor_edge_00281,r261_intel,,r261_intel_Scope 1__281,Scope 1,,,,,,,13.853,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,36,INTEL CSR-2024-25-Full-Report.pdf,,
factor_edge_00282,r261_intel,,r261_intel_Scope 2__282,Scope 2,,,Location-Based,,,,3.179,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,36,INTEL CSR-2024-25-Full-Report.pdf,,
factor_edge_00283,r262_tjx公司,,r262_tjx公司_Scope 1__283,Scope 1,,,,,,,0.143258,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,68,tjx-2025-global-corporate-responsibility-report.pdf,,
factor_edge_00284,r262_tjx公司,,r262_tjx公司_Scope 3__284,Scope 3,,,,,,,0.0126,emission_record_factor,,,,,,,review,missing_applies_emission_factor,68,tjx-2025-global-corporate-responsibility-report.pdf,,
factor_edge_00285,r263_novartis,,r263_novartis_Scope 2__285,Scope 2,,,Market-Based,,,,0.001,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,28,novartis-integrated-report-2024.pdf,,
factor_edge_00286,r263_novartis,,r263_novartis_Scope 1__286,Scope 1,,,,,,,0.000207,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,61,novartis-integrated-report-2024.pdf,,
factor_edge_00287,r263_novartis,,r263_novartis_Scope 3__287,Scope 3,,,,,,,4e-06,emission_record_factor,,,,,,,review,missing_applies_emission_factor,61,novartis-integrated-report-2024.pdf,,
factor_edge_00288,r264_riotintogroup,,r264_riotintogroup__10_288,,10,,,,,,1.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,75,2024-RIO TINTO GROUP-annual-report.pdf,,
factor_edge_00289,r264_riotintogroup,,r264_riotintogroup_Scope 3__289,Scope 3,,,,,,,574.6,emission_record_factor,,,,,,,review,missing_applies_emission_factor,60,2024-RIO TINTO GROUP-annual-report.pdf,,
factor_edge_00290,r264_riotintogroup,,r264_riotintogroup_Scope 1__290,Scope 1,,,,,,,23.0,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,74,2024-RIO TINTO GROUP-annual-report.pdf,,
factor_edge_00291,r264_riotintogroup,,r264_riotintogroup_Scope 2__291,Scope 2,,,Location-Based,,,,30.8,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,323,2024-RIO TINTO GROUP-annual-report.pdf,,
factor_edge_00292,r264_riotintogroup,,r264_riotintogroup_Scope 2__292,Scope 2,,,Market-Based,,,,29.8,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,323,2024-RIO TINTO GROUP-annual-report.pdf,,
factor_edge_00293,r266_prudentialfinancial,,r266_prudentialfinancial__6_293,,6,,,,,,0.056089,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,51,Prudential-s-2024-Sustainability-Report.pdf,,
factor_edge_00294,r266_prudentialfinancial,,r266_prudentialfinancial_Scope 3__294,Scope 3,,,,,,,0.25554099999999996,emission_record_factor,,,,,,,review,missing_applies_emission_factor,46,Prudential-s-2024-Sustainability-Report.pdf,,
factor_edge_00295,r266_prudentialfinancial,,r266_prudentialfinancial_Scope 1__295,Scope 1,,,,,,,0.009307,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,45,Prudential-s-2024-Sustainability-Report.pdf,,
factor_edge_00296,r266_prudentialfinancial,,r266_prudentialfinancial_Scope 2__296,Scope 2,,,Market-Based,,,,0.25554099999999996,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,45,Prudential-s-2024-Sustainability-Report.pdf,,
factor_edge_00297,r268_bhpgroup,,r268_bhpgroup_Scope 3__297,Scope 3,,,,,,,377.6,emission_record_factor,,,,,,,review,missing_applies_emission_factor,51,250819_bhpannualreport2025.pdf,,
factor_edge_00298,r268_bhpgroup,,r268_bhpgroup_Scope 1__298,Scope 1,,,,,,,7.4,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,51,250819_bhpannualreport2025.pdf,,
