company_id,company_name,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,primary_ratio_for_bubble,secondary_ratio_for_bubble,unknown_ratio_for_bubble,bubble_evidence_type,fact_count,explicit_ratio_evidence_count,inference_evidence_count,included_in_bubble,bubble_size_metric,bubble_color_bucket
r449_nationalaustraliabank,NATIONAL AUSTRALIA BANK,449,J,金融业,Finance,0.1667,0.8333,0.8846,method_row_source_mix_inference,52,0,52,true,52,J
r450_sap公司,SAP,450,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,36,0,36,false,36,C
r451_crrcgroup,CRRC GROUP,451,C,制造业,Manufacturing,0.5,0.5,0,method_row_source_mix_inference,3,0,3,true,3,C
r453_lennar,LENNAR,453,E,建筑业,Construction,,,1,method_row_source_mix_inference,1,0,1,false,1,E
r454_sompoholdings,SOMPO HOLDINGS,454,J,金融业,Finance,,,1,method_row_source_mix_inference,14,0,14,false,14,J
r455_elililly,ELI LILLY,455,C,制造业,Manufacturing,0.5,0.5,0.7241,method_row_source_mix_inference,29,0,29,true,29,C
r456_koreagas,KOREA GAS,456,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",0,1,0.5882,method_row_source_mix_inference,17,0,17,true,17,I
r459_cummins,CUMMINS,459,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,6,0,6,false,6,C
r461_rabobankgroup,RABOBANK GROUP,461,J,金融业,Finance,0.5,0.5,0.6667,method_row_source_mix_inference,12,0,12,true,12,J
r462_aisin,AISIN,462,C,制造业,Manufacturing,0,1,0.5,method_row_source_mix_inference,2,0,2,true,2,C
r463_rajeshexports公司,Rajesh Exports,463,L,租赁和商务服务业,Leasing and Business Services,,,1,method_row_source_mix_inference,2,0,2,false,2,L
r464_britishamericantobacco,BRITISH AMERICAN TOBACCO,464,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,91,0,91,false,91,C
r466_bankofnewyorkmellon,BANK OF NEW YORK MELLON,466,J,金融业,Finance,0,1,0.8485,method_row_source_mix_inference,33,0,33,true,33,J
r467_tongweigroup,TONGWEI GROUP,467,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",1,0,0.9118,method_row_source_mix_inference,34,0,34,true,34,D
r468_netflix公司,Netflix,468,R,文化、体育和娱乐业,"Culture, Sports and Entertainment",,,1,method_row_source_mix_inference,20,0,20,false,20,R
r473_vtbbank,VTB BANK,473,J,金融业,Finance,,,1,method_row_source_mix_inference,2,0,2,false,2,J
r477_truistfinancial公司,Truist Financial,477,J,金融业,Finance,,,1,method_row_source_mix_inference,1,0,1,false,1,J
r478_siemensenergy,SIEMENS ENERGY,478,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",0.5,0.5,0.9167,method_row_source_mix_inference,36,0,36,true,36,D
r479_schlumberger,SCHLUMBERGER,479,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",,,1,method_row_source_mix_inference,8,0,8,false,8,D
r480_ecopetrol,ECOPETROL,480,B,采矿业,Mining,0.1875,0.8125,0.7241,method_row_source_mix_inference,29,0,29,true,29,B
r481_arrowelectronics,ARROW ELECTRONICS,481,F,批发和零售业,Wholesale and Retail Trade,0.375,0.625,0.541,method_row_source_mix_inference,61,0,61,true,61,F
r484_commonwealthbankofaustralia,COMMONWEALTH BANK OF AUSTRALIA,484,J,金融业,Finance,0.5,0.5,0.9318,method_row_source_mix_inference,44,0,44,true,44,J
r485_centrica,CENTRICA,485,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",,,1,method_row_source_mix_inference,17,0,17,false,17,I
r486_linde,LINDE,486,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,26,0,26,false,26,C
r487_heineken,HEINEKEN,487,C,制造业,Manufacturing,0.0645,0.9355,0.6353,method_row_source_mix_inference,85,0,85,true,85,C
r489_3m公司,3M,489,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,2,0,2,false,2,C
r491_apolloglobalmanagement,APOLLO GLOBAL MANAGEMENT,491,J,金融业,Finance,0.5,0.5,0.75,method_row_source_mix_inference,4,0,4,true,4,J
r492_emiratesgroup,EMIRATES GROUP,492,G,交通运输、仓储和邮政业,"Transport, Storage and Post",0.1667,0.8333,0.5714,method_row_source_mix_inference,14,0,14,true,14,G
r494_metro,METRO,494,F,批发和零售业,Wholesale and Retail Trade,,,1,method_row_source_mix_inference,1,0,1,false,1,F
r495_subaru,SUBARU,495,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,1,0,1,false,1,C
r498_瑞士abb集团,ABB,498,C,制造业,Manufacturing,0.6111,0.3889,0.64,method_row_source_mix_inference,25,0,25,true,25,C
r500_三星candt公司,Samsung C&T,500,E,建筑业,Construction,0.3,0.7,0.2857,method_row_source_mix_inference,7,0,7,true,7,E
