decision_id,company_id,company_name_en,company_name_zh,world500_rank,decision_status,missing_scopes,repair_queue_files
EMISSIONS-PARTIAL-EXCLUDE-0043,r427_broadcom,BROADCOM,博通公司,427,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0044,r166_vinci,VINCI,万喜集团,166,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0045,r027_cardinalhealth,CARDINAL HEALTH,嘉德诺健康集团,27,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0046,r262_tjx公司,TJX,TJX,262,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0047,r434_drhorton公司,D.R. Horton,D.R. Horton,434,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0048,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,387,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0049,r482_jerónimomartins公司,Jerónimo Martins,Jerónimo Martins,482,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0050,r403_ubertechnologies公司,Uber Technologies,Uber Technologies,403,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0051,r269_hp,HP,惠普公司,269,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0052,r126_axa,AXA,安盛,126,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0053,r189_itaúunibancoholding,ITAÚ UNIBANCO HOLDING,伊塔乌联合银行控股公司,189,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0054,r168_torontodominionbank,TORONTO-DOMINION BANK,多伦多道明银行,168,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0055,r283_intesasanpaolo,INTESA SANPAOLO,意大利联合圣保罗银行,283,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0056,r252_bancobradesco,BANCO BRADESCO,巴西布拉德斯科银行,252,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
