fact_type,direct_use,company_id,company_name_en,company_name_zh,world500_rank,scope_en,scope_zh,scope3_category_code,scope3_category_en,scope3_category_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,acceptance_tier_code,acceptance_tier_en,acceptance_tier_zh,verification_status,verification_reason_en,verification_reason_zh,candidate_quality,priority_level_en,source_layer,source_kind,binding_mode,evidence_page,source_file,source_path,report_title,extraction_rule_en,extraction_rule_zh,snippet_en,snippet_zh
scope_direct_use,True,r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 2,范围 2,,,,,,,,,,1.96,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,Volkswagen Group Sustainability Report 2023,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.
scope_direct_use,True,r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 3,范围 3,,,,,,,,,,413.95,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,Volkswagen Group Sustainability Report 2023,Mt CO2e; 2023 total Scope 3 inventory.,Mt CO2e; 2023 total Scope 3 inventory.,Mt CO2e; 2023 total Scope 3 inventory.,Mt CO2e; 2023 total Scope 3 inventory.
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,,,,,119,MtCO2e,119.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,375,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取,"The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on energy consumption to greenhouse gas ratios...","The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on ene..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,,,Equity boundary,权益边界,119,MtCO2e,119.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: Equity boundary,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：权益边界,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...","Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driv..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,3,Category 3 Fuel- and energy-related activities,类别3 燃料与能源相关活动,,,,,2,MtCO2e,2.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,103,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取,"Scope 3, Category 3: fuel and energy-related activities (not included in Scope 1 and 2) This category includes well-to-wire emissions from purchased third-party electricity sold by Shell, calculated using a market-based method. Emissions...","Scope 3, Category 3: fuel and energy-related activities (not included in Scope 1 and 2) This category includes well-to-wire emissions from purchased third-party electricity sold by Shell, calculate..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,3,Category 3 Fuel- and energy-related activities,类别3 燃料与能源相关活动,,,Equity boundary,权益边界,117,MtCO2,,C3,C3 category value candidate inferred from nearby numeric context; review required,C3 类别值由邻近数值上下文推断，需复核,review_required,category candidate quality is not high; unit cannot be normalized to CO2e,类别候选质量不是 high；单位不能稳定折算为 CO2e,medium,medium,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: Equity boundary,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：权益边界,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...","Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driv..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,9,Category 9 Downstream transportation and distribution,类别9 下游运输与配送,,,,,3,MtCO2e,3.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...","Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driv..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,11,Category 11 Use of sold products,类别11 销售产品的使用,,,,,845,MtCO2e,845.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...","Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driv..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,11,Category 11 Use of sold products,类别11 销售产品的使用,,,ESRS perimeter,ESRS 边界,845,MtCO2e,845.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,375,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: ESRS perimeter,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：ESRS 边界,"The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on energy consumption to greenhouse gas ratios...","The detailed energy consumption data available from assets not operated by Shell vary. When available, the data are used. When not available, the data for material assets are estimated based on ene..."
scope3_category_value,False,r013_shell,SHELL,壳牌公司,13,,,11,Category 11 Use of sold products,类别11 销售产品的使用,,,Equity boundary,权益边界,491,MtCO2e,491.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,shell-annual-report-2024.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: Equity boundary,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：权益边界,"Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driven by lower sales of oil products. Emiss...","Drivers of absolute Scope 3 emissions change in 2024 Scope 3 emissions associated with our energy product sales were 1,084 million tonnes CO2e, compared with 1,123 million tonnes CO2e in 2023, driv..."
