evidence_page,relation,source,target
,has_standard_role,standard_ref::batch_02__r037_bankofchina__20240__other__gri,standard_role::Disclosure standard
33,documents_standard_reference,report::r041_bmwgroup__20240__other,standard_ref::batch_02__r041_bmwgroup__20240__other__sbti
,references_standard,standard_ref::batch_02__r041_bmwgroup__20240__other__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_02__r041_bmwgroup__20240__other__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_02__r041_bmwgroup__20240__other__sbti,standard_role::Target validation guideline
4,documents_standard_reference,report::r042_mercedesbenzgroup__20240__sustainabilityreport,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__sbti
,references_standard,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__sbti,standard_role::Target validation guideline
5,documents_standard_reference,report::r042_mercedesbenzgroup__20240__sustainabilityreport,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_02__r042_mercedesbenzgroup__20240__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
3,documents_standard_reference,report::r044_chinabaowusteelgroup__20230__other,standard_ref::batch_02__r044_chinabaowusteelgroup__20230__other__gri
,references_standard,standard_ref::batch_02__r044_chinabaowusteelgroup__20230__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r044_chinabaowusteelgroup__20230__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r044_chinabaowusteelgroup__20230__other__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r045_citigroup__20240__sustainabilityreport,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__sasb
,references_standard,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__sasb,standard_role::Disclosure guideline
15,documents_standard_reference,report::r045_citigroup__20240__sustainabilityreport,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__pcaf
,references_standard,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__pcaf,standard::PCAF
,belongs_to_standard_family,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__pcaf,standard_family::Financed emissions accounting system
,has_standard_role,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__pcaf,standard_role::Accounting standard
19,documents_standard_reference,report::r045_citigroup__20240__sustainabilityreport,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r045_citigroup__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
51,documents_standard_reference,report::r046_centene公司__20240__other,standard_ref::batch_02__r046_centene公司__20240__other__ghg_protocol
,references_standard,standard_ref::batch_02__r046_centene公司__20240__other__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r046_centene公司__20240__other__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r046_centene公司__20240__other__ghg_protocol,standard_role::Accounting standard
51,documents_standard_reference,report::r046_centene公司__20240__other,standard_ref::batch_02__r046_centene公司__20240__other__tcfd
,references_standard,standard_ref::batch_02__r046_centene公司__20240__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_02__r046_centene公司__20240__other__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_02__r046_centene公司__20240__other__tcfd,standard_role::Disclosure recommendation
72,documents_standard_reference,report::r046_centene公司__20240__other,standard_ref::batch_02__r046_centene公司__20240__other__sasb
,references_standard,standard_ref::batch_02__r046_centene公司__20240__other__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r046_centene公司__20240__other__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r046_centene公司__20240__other__sasb,standard_role::Disclosure guideline
3,documents_standard_reference,report::r047_jdcom__20240__other,standard_ref::batch_02__r047_jdcom__20240__other__sasb
,references_standard,standard_ref::batch_02__r047_jdcom__20240__other__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r047_jdcom__20240__other__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r047_jdcom__20240__other__sasb,standard_role::Disclosure guideline
3,documents_standard_reference,report::r047_jdcom__20240__other,standard_ref::batch_02__r047_jdcom__20240__other__tcfd
,references_standard,standard_ref::batch_02__r047_jdcom__20240__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_02__r047_jdcom__20240__other__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_02__r047_jdcom__20240__other__tcfd,standard_role::Disclosure recommendation
3,documents_standard_reference,report::r047_jdcom__20240__other,standard_ref::batch_02__r047_jdcom__20240__other__ifrs_s2
,references_standard,standard_ref::batch_02__r047_jdcom__20240__other__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_02__r047_jdcom__20240__other__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_02__r047_jdcom__20240__other__ifrs_s2,standard_role::Disclosure standard
31,documents_standard_reference,report::r047_jdcom__20240__other,standard_ref::batch_02__r047_jdcom__20240__other__iso_14064
,references_standard,standard_ref::batch_02__r047_jdcom__20240__other__iso_14064,standard::ISO 14064
,belongs_to_standard_family,standard_ref::batch_02__r047_jdcom__20240__other__iso_14064,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_02__r047_jdcom__20240__other__iso_14064,standard_role::Guideline
79,documents_standard_reference,report::r047_jdcom__20240__other,standard_ref::batch_02__r047_jdcom__20240__other__gri
,references_standard,standard_ref::batch_02__r047_jdcom__20240__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r047_jdcom__20240__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r047_jdcom__20240__other__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r048_homedepot__20240__other,standard_ref::batch_02__r048_homedepot__20240__other__gri
,references_standard,standard_ref::batch_02__r048_homedepot__20240__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r048_homedepot__20240__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r048_homedepot__20240__other__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r048_homedepot__20240__other,standard_ref::batch_02__r048_homedepot__20240__other__sasb
,references_standard,standard_ref::batch_02__r048_homedepot__20240__other__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r048_homedepot__20240__other__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r048_homedepot__20240__other__sasb,standard_role::Disclosure guideline
2,documents_standard_reference,report::r048_homedepot__20240__other,standard_ref::batch_02__r048_homedepot__20240__other__tcfd
,references_standard,standard_ref::batch_02__r048_homedepot__20240__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_02__r048_homedepot__20240__other__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_02__r048_homedepot__20240__other__tcfd,standard_role::Disclosure recommendation
4,documents_standard_reference,report::r048_homedepot__20240__other,standard_ref::batch_02__r048_homedepot__20240__other__sbti
,references_standard,standard_ref::batch_02__r048_homedepot__20240__other__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_02__r048_homedepot__20240__other__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_02__r048_homedepot__20240__other__sbti,standard_role::Target validation guideline
45,documents_standard_reference,report::r048_homedepot__20240__other,standard_ref::batch_02__r048_homedepot__20240__other__ghg_protocol
,references_standard,standard_ref::batch_02__r048_homedepot__20240__other__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r048_homedepot__20240__other__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r048_homedepot__20240__other__ghg_protocol,standard_role::Accounting standard
7,documents_standard_reference,report::r050_marathonpetroleum__20240__sustainabilityreport,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__gri,standard_role::Disclosure standard
7,documents_standard_reference,report::r050_marathonpetroleum__20240__sustainabilityreport,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__sasb
,references_standard,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__sasb,standard_role::Disclosure guideline
56,documents_standard_reference,report::r050_marathonpetroleum__20240__sustainabilityreport,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r050_marathonpetroleum__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
