evidence_page,relation,source,target
,publishes,company::r192_beijingautomotivegroup,report::r192_beijingautomotivegroup__20240__other
,matched_to_source,report::r192_beijingautomotivegroup__20240__other,source::北京汽车集团有限公司esg报告baicgroup2024.pdf
,publishes,company::r193_lockheedmartin,report::r193_lockheedmartin__20240__sustainabilityreport
,matched_to_source,report::r193_lockheedmartin__20240__sustainabilityreport,source::2024-LOCKHEED MARTIN-Sustainability-Performance-Report.pdf
,publishes,company::r195_americanexpress,report::r195_americanexpress__20230__other
,matched_to_source,report::r195_americanexpress__20230__other,source::AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf
,publishes,company::r196_hitachi,report::r196_hitachi__20250__sustainabilityreport
,matched_to_source,report::r196_hitachi__20250__sustainabilityreport,source::HITACHI_en_sustainability2025.pdf
,publishes,company::r199_caterpillar,report::r199_caterpillar__20240__sustainabilityreport
,matched_to_source,report::r199_caterpillar__20240__sustainabilityreport,source::CATERPILLAR 2024 SUSTAINABILITY REPORT.pdf
,publishes,company::r202_metlife,report::r202_metlife__20240__sustainabilityreport
,matched_to_source,report::r202_metlife__20240__sustainabilityreport,source::metlife_sustainability_report_2024.pdf
,publishes,company::r206_chinavanke,report::r206_chinavanke__20240__sustainabilityreport
,matched_to_source,report::r206_chinavanke__20240__sustainabilityreport,source::2024-CHINA VANKE-sustainability-report.pdf
,publishes,company::r208_sumitomomitsuifinancialgroup,report::r208_sumitomomitsuifinancialgroup__20250__sustainabilityreport
,matched_to_source,report::r208_sumitomomitsuifinancialgroup__20250__sustainabilityreport,source::SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf
,publishes,company::r211_accenture,report::r211_accenture__20240__other
,matched_to_source,report::r211_accenture__20240__other,source::Accenture-360-Value-Report-2024.pdf
,publishes,company::r212_barclays,report::r212_barclays__20240__other
,matched_to_source,report::r212_barclays__20240__other,source::BARCLAYS TCFD BBPLC report 2024.pdf
,publishes,company::r215_munichregroup,report::r215_munichregroup__20240__annualreport
,matched_to_source,report::r215_munichregroup__20240__annualreport,source::MunichRe-Group-Annual-Report-2024-en.pdf
,publishes,company::r217_bancodobrasil,report::r217_bancodobrasil__20240__annualreport
,matched_to_source,report::r217_bancodobrasil__20240__annualreport,source::BANCO DO BRASIL Annual Report - 2024.pdf
,publishes,company::r221_deere,report::r221_deere__20240__impactreport
,matched_to_source,report::r221_deere__20240__impactreport,source::DEERE business-impact-report-2024.pdf
,publishes,company::r222_nvidia,report::r222_nvidia__20250__sustainabilityreport
,matched_to_source,report::r222_nvidia__20250__sustainabilityreport,source::NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf
,classified_as,company::r168_torontodominionbank,industry::J
,classified_as,company::r169_lukoil,industry::D
,classified_as,company::r177_alimentationcouchetard公司,industry::F
,classified_as,company::r179_chinamerchantsbank,industry::J
,classified_as,company::r182_ubsgroup,industry::J
,classified_as,company::r183_airbus,industry::C
,classified_as,company::r184_toyotatsusho,industry::L
,classified_as,company::r186_taiwansemiconductormanufacturing,industry::C
,classified_as,company::r189_itaúunibancoholding,industry::J
,classified_as,company::r190_arcelormittal,industry::C
,classified_as,company::r191_generalelectric,industry::C
,classified_as,company::r192_beijingautomotivegroup,industry::C
,classified_as,company::r193_lockheedmartin,industry::C
,classified_as,company::r195_americanexpress,industry::J
,classified_as,company::r196_hitachi,industry::C
,classified_as,company::r199_caterpillar,industry::C
,classified_as,company::r202_metlife,industry::J
,classified_as,company::r206_chinavanke,industry::K
,classified_as,company::r208_sumitomomitsuifinancialgroup,industry::J
,classified_as,company::r211_accenture,industry::I
,classified_as,company::r212_barclays,industry::J
,classified_as,company::r215_munichregroup,industry::J
,classified_as,company::r217_bancodobrasil,industry::J
,classified_as,company::r221_deere,industry::C
,classified_as,company::r222_nvidia,industry::C
3,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__gri,standard_role::Disclosure standard
3,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sasb
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sasb,standard_role::Disclosure guideline
3,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__tcfd
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__tcfd,standard_role::Disclosure recommendation
56,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
58,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sbti
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__sbti,standard_role::Target validation guideline
60,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__pcaf
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__pcaf,standard::PCAF
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__pcaf,standard_family::Financed emissions accounting system
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__pcaf,standard_role::Accounting standard
93,documents_standard_reference,report::r168_torontodominionbank__20240__sustainabilityreport,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_05__r168_torontodominionbank__20240__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
2,documents_standard_reference,report::r169_lukoil__20240__sustainabilityreport,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r169_lukoil__20240__sustainabilityreport,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__sasb
,references_standard,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__sasb,standard_role::Disclosure guideline
66,documents_standard_reference,report::r169_lukoil__20240__sustainabilityreport,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
88,documents_standard_reference,report::r169_lukoil__20240__sustainabilityreport,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_05__r169_lukoil__20240__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
38,documents_standard_reference,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
41,documents_standard_reference,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__gri
,references_standard,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__gri,standard_role::Disclosure standard
41,documents_standard_reference,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__sasb
,references_standard,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__sasb,standard_role::Disclosure guideline
42,documents_standard_reference,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ifrs_s2
,references_standard,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ifrs_s2,standard_role::Disclosure standard
52,documents_standard_reference,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
3,documents_standard_reference,report::r179_chinamerchantsbank__20240__sustainabilityreport,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gri,standard_role::Disclosure standard
38,documents_standard_reference,report::r179_chinamerchantsbank__20240__sustainabilityreport,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t_23331_2020
,references_standard,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t_23331_2020,standard::GB/T 23331-2020
,belongs_to_standard_family,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t_23331_2020,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t_23331_2020,standard_role::Guideline
38,documents_standard_reference,report::r179_chinamerchantsbank__20240__sustainabilityreport,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t24001_2016
,references_standard,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t24001_2016,standard::GB/T24001-2016
,belongs_to_standard_family,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t24001_2016,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t24001_2016,standard_role::Guideline
5,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__gri,standard_role::Disclosure standard
32,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
33,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__tcfd
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__tcfd,standard_role::Disclosure recommendation
34,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
34,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__pcaf
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__pcaf,standard::PCAF
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__pcaf,standard_family::Financed emissions accounting system
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__pcaf,standard_role::Accounting standard
46,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__sbti
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__sbti,standard_role::Target validation guideline
51,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__iso_14064
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__iso_14064,standard::ISO 14064
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__iso_14064,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__iso_14064,standard_role::Guideline
97,documents_standard_reference,report::r182_ubsgroup__20240__sustainabilityreport,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ifrs_s2
,references_standard,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_05__r182_ubsgroup__20240__sustainabilityreport__ifrs_s2,standard_role::Disclosure standard
1,documents_standard_reference,report::r183_airbus__nan__other,standard_ref::batch_05__r183_airbus__nan__other__esrs_csrd
,references_standard,standard_ref::batch_05__r183_airbus__nan__other__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_05__r183_airbus__nan__other__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_05__r183_airbus__nan__other__esrs_csrd,standard_role::Disclosure standard
3,documents_standard_reference,report::r183_airbus__nan__other,standard_ref::batch_05__r183_airbus__nan__other__gri
,references_standard,standard_ref::batch_05__r183_airbus__nan__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r183_airbus__nan__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r183_airbus__nan__other__gri,standard_role::Disclosure standard
4,documents_standard_reference,report::r183_airbus__nan__other,standard_ref::batch_05__r183_airbus__nan__other__ghg_protocol
,references_standard,standard_ref::batch_05__r183_airbus__nan__other__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_05__r183_airbus__nan__other__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_05__r183_airbus__nan__other__ghg_protocol,standard_role::Accounting standard
3,documents_standard_reference,report::r184_toyotatsusho__20250__other,standard_ref::batch_05__r184_toyotatsusho__20250__other__tcfd
,references_standard,standard_ref::batch_05__r184_toyotatsusho__20250__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_05__r184_toyotatsusho__20250__other__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_05__r184_toyotatsusho__20250__other__tcfd,standard_role::Disclosure recommendation
52,documents_standard_reference,report::r184_toyotatsusho__20250__other,standard_ref::batch_05__r184_toyotatsusho__20250__other__gri
,references_standard,standard_ref::batch_05__r184_toyotatsusho__20250__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r184_toyotatsusho__20250__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r184_toyotatsusho__20250__other__gri,standard_role::Disclosure standard
2,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__gri
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__gri,standard_role::Disclosure standard
19,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sasb
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sasb,standard_role::Disclosure guideline
75,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14064
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14064,standard::ISO 14064
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14064,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14064,standard_role::Guideline
89,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14067
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14067,standard::ISO 14067
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14067,standard_family::ISO product carbon standard
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__iso_14067,standard_role::Methodology standard
94,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sbti
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__sbti,standard_role::Target validation guideline
96,documents_standard_reference,report::r186_taiwansemiconductormanufacturing__20220__other,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__tcfd
,references_standard,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_05__r186_taiwansemiconductormanufacturing__20220__other__tcfd,standard_role::Disclosure recommendation
3,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__gri
,references_standard,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__gri,standard_role::Disclosure standard
3,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__sasb
,references_standard,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__sasb,standard_role::Disclosure guideline
21,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__tcfd
,references_standard,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__tcfd,standard_role::Disclosure recommendation
21,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__pcaf
,references_standard,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__pcaf,standard::PCAF
,belongs_to_standard_family,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__pcaf,standard_family::Financed emissions accounting system
,has_standard_role,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__pcaf,standard_role::Accounting standard
41,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__ifrs_s2
,references_standard,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__ifrs_s2,standard_role::Disclosure standard
112,documents_standard_reference,report::r189_itaúunibancoholding__20240__esgreport,standard_ref::batch_05__r189_itaúunibancoholding__20240__esgreport__ghg_protocol
