activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank,batch_id
,,,,,,,23,,,,batch_01__r004_saudiaramco__20240__sustainabilityreport__iso_14067,,standard_ref::batch_01__r004_saudiaramco__20240__sustainabilityreport__iso_14067,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,100,,,,batch_01__r007_apple__20250__other__ghg_protocol,,standard_ref::batch_01__r007_apple__20250__other__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,108,,,,batch_01__r007_apple__20250__other__iso_14064_3,,standard_ref::batch_01__r007_apple__20250__other__iso_14064_3,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,124,,,,batch_01__r007_apple__20250__other__esrs_csrd,,standard_ref::batch_01__r007_apple__20250__other__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,33,,,,batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,33,,,,batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__sbti,,standard_ref::batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,85,,,,batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__sasb,,standard_ref::batch_01__r008_unitedhealthgroup__20240__sustainabilityreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r010_cvshealth公司__20240__impactreport__gri,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r010_cvshealth公司__20240__impactreport__sasb,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,7,,,,batch_01__r010_cvshealth公司__20240__impactreport__sbti,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,36,,,,batch_01__r010_cvshealth公司__20240__impactreport__ghg_protocol,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,73,,,,batch_01__r010_cvshealth公司__20240__impactreport__tcfd,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__tcfd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,74,,,,batch_01__r010_cvshealth公司__20240__impactreport__ifrs_s2,,standard_ref::batch_01__r010_cvshealth公司__20240__impactreport__ifrs_s2,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__gri,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,3,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__sasb,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,23,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__esrs_csrd,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__esrs_csrd,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,56,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__sbti,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,61,,,,batch_01__r011_volkswagen__20230__sustainabilityreport__iso_14040_14044,,standard_ref::batch_01__r011_volkswagen__20230__sustainabilityreport__iso_14040_14044,StandardReference,,,seed_batch_01,,,,,batch_01
